Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration
154	1	F	F2-33-1	F2GRA	33	1	149	52	66	18	1	25
155	1	F	F2-33-2	F2GRA	33	2	146	49	63	15	1	34
156	1	F	F2-33-2_self-2	F2GRA	33-2_self	2	NA	NA	NA	NA	0	NA
157	1	F	F2-39-1_self-1	F2GRA	39-1_self	1	144	47	61	13	1	128
158	1	F	F2-39-1_self-2	F2GRA	39-1_self	2	146	49	63	15	1	126
159	1	F	F2-49-1	F2GRA	49	1	NA	NA	NA	NA	0	NA
160	1	F	F2-49-2	F2GRA	49	2	146	49	63	15	1	23
161	1	F	F2-61-1	F2GRA	61	1	151	54	68	20	1	37
162	1	F	F2-61-2	F2GRA	61	2	149	52	66	18	1	25
163	1	F	F2-71-2	F2GRA	71	2	NA	NA	NA	NA	0	NA
164	1	F	F2-79-1	F2GRA	79	1	149	52	66	18	1	20
165	1	F	F2-79-2	F2GRA	79	2	NA	NA	NA	NA	0	NA
166	1	F	F2-8-1	F2GRA	8	1	149	52	66	18	1	25
167	1	F	F2-8-2	F2GRA	8	2	151	54	68	20	1	37
168	1	F	F2-87-1	F2GRA	87	1	156	59	73	25	1	24
169	1	F	F2-87-2	F2GRA	87	2	146	49	63	15	1	49
170	1	F	F2-99-1	F2GRA	99	1	146	49	63	15	1	42
171	1	F	F2-99-2	F2GRA	99	2	146	49	63	15	1	42
172	1	F	F2-S16-1	F2GRA	S16	1	146	49	63	15	1	19
173	1	F	F2-S6-1	F2GRA	S6	2	NA	NA	NA	NA	0	NA
174	1	S	S1-11-1	S1	11	1	153	56	70	22	1	119
175	1	S	S1-11-2	S1	11	2	163	66	80	32	1	25
176	1	S	S1-12-1	S1	12	1	149	52	66	18	1	31
177	1	S	S1-12-2	S1	12	2	192	95	109	61	1	50
178	1	S	S1-15-2	S1	15	2	151	54	68	20	1	121
179	1	S	S1-16-1	S1	16	1	NA	NA	NA	NA	0	NA
180	1	S	S1-16-2	S1	16	2	151	54	68	20	1	37
181	1	S	S1-20-1	S1	20	1	177	80	94	46	1	24
182	1	S	S1-20-2	S1	20	2	171	74	88	40	1	9
183	1	S	S1-2-1	S1	2	1	160	63	77	29	1	28
184	1	S	S1-2-2	S1	2	2	NA	NA	NA	NA	0	NA
185	1	S	S1-22-1selfed(2009)	S1	22s'	1	153	56	70	22	1	48
186	1	S	S1-22-1self	S1	22s''	1	149	52	66	18	1	39
187	1	S	S1-22-1selfed	S1	22s'''	1	144	47	61	13	1	123
188	1	S	S1-22-2selfed2009	S1	22s'	2	149	52	66	18	1	128
189	1	S	S1-30-1	S1	30	1	156	59	73	25	1	24
190	1	S	S1-30-2	S1	30	2	177	80	94	46	1	38
191	1	S	S1-3-1	S1	3	1	146	49	63	15	1	126
192	1	S	S1-31-1	S1	31	1	153	56	70	22	1	121
193	1	S	S1-31-2	S1	31	2	160	63	77	29	1	119
194	1	S	S1-3-2	S1	3	2	151	54	68	20	1	112
195	1	S	S1-32-1	S1	32	1	146	49	63	15	1	126
196	1	S	S1-32-2	S1	32	2	149	52	66	18	1	108
197	1	S	S1-33-1	S1	33	1	156	59	73	25	1	39
198	1	S	S1-33-2	S1	33	2	153	56	70	22	1	48
199	1	S	S1-34-1	S1	34	1	156	59	73	25	1	53
200	1	S	S1-34-2	S1	34	2	153	56	70	22	1	42
201	1	S	S1-35-1	S1	35	1	146	49	63	15	1	126
202	1	S	S1-35-2	S1	35	2	177	80	94	46	1	38
203	1	S	S1-37-1	S1	37	1	156	59	73	25	1	24
204	1	S	S1-39-1	S1	39	1	153	56	70	22	1	119
205	1	S	S1-39-2	S1	39	2	151	54	68	20	1	121
206	1	S	S1-43-1	S1	43	1	NA	NA	NA	NA	0	NA
207	1	S	S1-43-2	S1	43	2	149	52	66	18	1	123
208	1	S	S1-44-1	S1	44	1	146	49	63	15	1	34
209	1	S	S1-44-2	S1	44	2	184	87	101	53	1	88
210	1	S	S1-6-1	S1	6	1	146	49	63	15	1	126
211	1	S	S1-7-1	S1	7	1	149	52	66	18	1	123
212	1	S	S1-7-2	S1	7	2	149	52	66	18	1	123
213	1	S	S1-8-1	S1	8	1	149	52	66	18	1	123
214	1	S	S1-8-2	S1	8	2	144	47	61	13	1	128
215	1	S	S2-11-1	S2	11	1	151	54	68	20	1	121
216	1	S	S2-11-2	S2	11	2	NA	NA	NA	NA	0	NA
217	1	S	S2-1-2	S2	1	2	167	70	84	36	1	90
218	1	S	S2-12-1	S2	12	1	151	54	68	20	1	29
219	1	S	S2-12-2	S2	12	2	NA	NA	NA	NA	0	NA
220	1	S	S2-13-1	S2	13	1	163	66	80	32	1	74
221	1	S	S2-13-2	S2	13	2	184	87	101	53	1	62
222	1	S	S2-14-1	S2	14	1	184	87	101	53	1	53
223	1	S	S2-14-2	S2	14	2	153	56	70	22	1	48
224	1	S	S2-15-1	S2	15	1	156	59	73	25	1	111
225	1	S	S2-15-2	S2	15	2	156	59	73	25	1	116
226	1	S	S2-16-1	S2	16	1	149	52	66	18	1	25
227	1	S	S2-16-2	S2	16	2	151	54	68	20	1	106
228	1	S	S2-19-1	S2	16	1	156	59	73	25	1	NA
229	1	S	S2-19-2	S2	16	2	NA	NA	NA	NA	0	NA
230	1	S	S2-22-1	S2	22	1	NA	NA	NA	NA	0	NA
231	1	S	S2-22-2	S2	22	2	151	54	68	20	1	37
232	1	S	S2-29-1	S2	29	1	149	52	66	18	1	123
233	1	S	S2-29-2	S2	29	2	NA	NA	NA	NA	0	NA
234	1	S	S2-3-1	S2	3	1	149	52	66	18	1	31
