Order	priority	region	ID	population	family	individual	FlowAfterGermFlAG	FlAGVernTimeExcluded	FlAGVernTime14d	FloweringafterbackshiftinLD	Flowering_binominal	duration	still_flowering_at_end	use_for_duration
113	1	F	F1-GAL-S24-8_s-1	F1GAL	S24-8_s	1	146	49	63	15	1	126	272	0
114	1	F	F1-GAL-S24-8_s-2	F1GAL	S24-8_s	2	144	47	61	13	1	128	272	0
115	1	F	F1-GAL-S5-1_s-1	F1GAL	S5-1_s	1	144	47	61	13	1	128	272	0
116	1	F	F1-GAL-S5-1_s-2	F1GAL	S5-1_s	2	146	49	63	15	1	126	272	0
117	1	F	F1-GAL-S6-1	F1GAL	S6	1	149	52	66	18	1	123	272	0
118	1	F	F1-PIC-156-1	F1PIC	156	1	149	52	66	18	1	123	272	0
119	1	F	F1-PIC-156-2	F1PIC	156	2	149	52	66	18	1	123	272	0
120	1	F	F1-PIC-161.2-1	F1PIC	161-2	1	151	54	68	20	1	33	184	1
121	1	F	F1-PIC-161.2-2	F1PIC	161-2	2	156	59	73	25	1	61	217	1
122	1	F	F1-PIC-162-1	F1PIC	162	1	146	49	63	15	1	126	272	0
123	1	F	F1-PIC-166-1	F1PIC	166	1	163	66	80	32	1	25	188	1
124	1	F	F1-PIC-166-2	F1PIC	166	2	NA	NA	NA	NA	0	NA	NA	0
125	1	F	F1-PIC-175-1	F1PIC	175	1	151	54	68	20	1	37	188	1
126	1	F	F1-PIC-175-2	F1PIC	175	2	149	52	66	18	1	52	201	1
127	1	F	F1-PIC-178-2	F1PIC	178	2	NA	NA	NA	NA	0	NA	NA	0
128	1	F	F1-PIC-17self-1	F1PIC	17self	1	NA	NA	NA	NA	0	NA	NA	0
129	1	F	F1-PIC-180.2-1	F1PIC	180.2	1	NA	NA	NA	NA	0	NA	NA	0
130	1	F	F1-PIC-180.2-2	F1PIC	180.2	2	151	54	68	20	1	37	188	1
131	1	F	F1-PIC-181-1	F1PIC	181	1	146	49	63	15	1	42	188	1
132	1	F	F1-PIC-181-2	F1PIC	181	2	149	52	66	18	1	60	209	1
133	1	F	F1-PIC-182c-1	F1PIC	182c	1	149	52	66	18	1	31	180	1
134	1	F	F1-PIC-312-1	F1PIC	312	1	144	47	61	13	1	123	267	1
135	1	F	F1-PIC-312-2	F1PIC	312	2	144	47	61	13	1	65	209	1
136	1	F	F1-PIC-319-1	F1PIC	319	1	149	52	66	18	1	123	272	0
137	1	F	F1-PIC-319-2	F1PIC	319	2	146	49	63	15	1	126	272	0
138	1	F	F1-PIC-326-1	F1PIC	326	1	167	70	84	36	1	105	272	0
